wt0,wt1,wt2,wt3,wt4,wt5,wt6,wt7,wt8,wt9,wt10,wt11,wt12,wt13,wt14,wt15,wt16,wt17,wt18,wt19,wt20,wt21,wt22,wt23,wt24,wt25,wt26,wt27,wt28,wt29,wt30,wt31,wt32,wt33,wt34,wt35,wt36,wt37,wt38,wt39,wt40,wt41,wt42,wt43,wt44,wt45,wt46,wt47,wt48,wt49,wt50,Total Revenue,target
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,88
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,70
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,80
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,0
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,111
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,95
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,87
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,97
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,102
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,88
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,0
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,0
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,116
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,0
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,74
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,100
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,90
0,3,0,60,56,59,60,60,60,60,60,59,57,60,59,60,58,60,60,56,60,60,60,60,60,60,56,60,56,60,60,57,56,60,60,59,56,60,57,56,59,59,58,56,60,60,59,60,59,60,60,73345.80579,0
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,67
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,95
0,3,0,60,56,59,60,60,60,60,60,59,57,60,59,60,58,60,60,56,60,60,60,60,60,60,56,60,56,60,60,57,56,60,60,59,56,60,57,56,59,59,58,56,60,60,59,60,59,60,60,73345.80579,99
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,60
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,89
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,79
0,1,0,59,53,57,60,60,60,58,60,56,55,60,56,60,55,60,60,54,60,60,60,60,60,59,54,60,53,60,60,54,54,60,59,57,53,60,55,53,56,57,55,54,60,58,56,60,56,60,59,71586.77389,106
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,72
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,61
0,1,0,59,53,57,60,60,60,58,60,56,55,60,56,60,55,60,60,54,60,60,60,60,60,59,54,60,53,60,60,54,54,60,59,57,53,60,55,53,56,57,55,54,60,58,56,60,56,60,59,71586.77389,110
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,0
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,117
0,1,0,59,53,57,60,60,60,58,60,56,55,60,56,60,55,60,60,54,60,60,60,60,60,59,54,60,53,60,60,54,54,60,59,57,53,60,55,53,56,57,55,54,60,58,56,60,56,60,59,71586.77389,106
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,73
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,92
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,118
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,74
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,85
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,84
0,1,0,59,53,57,60,60,60,58,60,56,55,60,56,60,55,60,60,54,60,60,60,60,60,59,54,60,53,60,60,54,54,60,59,57,53,60,55,53,56,57,55,54,60,58,56,60,56,60,59,71586.77389,0
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,85
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,102
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,95
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,0
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,0
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,0
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,96
0,3,0,60,56,59,60,60,60,60,60,59,57,60,59,60,58,60,60,56,60,60,60,60,60,60,56,60,56,60,60,57,56,60,60,59,56,60,57,56,59,59,58,56,60,60,59,60,59,60,60,73345.80579,77
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,55
0,3,0,60,56,59,60,60,60,60,60,59,57,60,59,60,58,60,60,56,60,60,60,60,60,60,56,60,56,60,60,57,56,60,60,59,56,60,57,56,59,59,58,56,60,60,59,60,59,60,60,73345.80579,93
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,84
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,64
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,0
0,1,0,59,53,57,60,60,60,58,60,56,55,60,56,60,55,60,60,54,60,60,60,60,60,59,54,60,53,60,60,54,54,60,59,57,53,60,55,53,56,57,55,54,60,58,56,60,56,60,59,71586.77389,101
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,65
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,66
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,120
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,0
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,92
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,72
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,0
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,0
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,82
0,1,0,59,53,57,60,60,60,58,60,56,55,60,56,60,55,60,60,54,60,60,60,60,60,59,54,60,53,60,60,54,54,60,59,57,53,60,55,53,56,57,55,54,60,58,56,60,56,60,59,71586.77389,93
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,109
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,87
0,1,0,59,53,57,60,60,60,58,60,56,55,60,56,60,55,60,60,54,60,60,60,60,60,59,54,60,53,60,60,54,54,60,59,57,53,60,55,53,56,57,55,54,60,58,56,60,56,60,59,71586.77389,82
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,84
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,0
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,0
0,3,0,60,56,59,60,60,60,60,60,59,57,60,59,60,58,60,60,56,60,60,60,60,60,60,56,60,56,60,60,57,56,60,60,59,56,60,57,56,59,59,58,56,60,60,59,60,59,60,60,73345.80579,0
0,1,0,59,53,57,60,60,60,58,60,56,55,60,56,60,55,60,60,54,60,60,60,60,60,59,54,60,53,60,60,54,54,60,59,57,53,60,55,53,56,57,55,54,60,58,56,60,56,60,59,71586.77389,0
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,0
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,74
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,79
0,1,0,59,53,57,60,60,60,58,60,56,55,60,56,60,55,60,60,54,60,60,60,60,60,59,54,60,53,60,60,54,54,60,59,57,53,60,55,53,56,57,55,54,60,58,56,60,56,60,59,71586.77389,0
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,97
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,119
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,73
0,3,0,60,56,59,60,60,60,60,60,59,57,60,59,60,58,60,60,56,60,60,60,60,60,60,56,60,56,60,60,57,56,60,60,59,56,60,57,56,59,59,58,56,60,60,59,60,59,60,60,73345.80579,80
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,73
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,0
0,3,0,60,56,59,60,60,60,60,60,59,57,60,59,60,58,60,60,56,60,60,60,60,60,60,56,60,56,60,60,57,56,60,60,59,56,60,57,56,59,59,58,56,60,60,59,60,59,60,60,73345.80579,87
0,1,0,59,53,57,60,60,60,58,60,56,55,60,56,60,55,60,60,54,60,60,60,60,60,59,54,60,53,60,60,54,54,60,59,57,53,60,55,53,56,57,55,54,60,58,56,60,56,60,59,71586.77389,92
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,84
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,90
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,105
0,3,0,60,56,59,60,60,60,60,60,59,57,60,59,60,58,60,60,56,60,60,60,60,60,60,56,60,56,60,60,57,56,60,60,59,56,60,57,56,59,59,58,56,60,60,59,60,59,60,60,73345.80579,101
0,3,0,60,56,59,60,60,60,60,60,59,57,60,59,60,58,60,60,56,60,60,60,60,60,60,56,60,56,60,60,57,56,60,60,59,56,60,57,56,59,59,58,56,60,60,59,60,59,60,60,73345.80579,83
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,74
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,91
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,0
0,3,0,60,56,59,60,60,60,60,60,59,57,60,59,60,58,60,60,56,60,60,60,60,60,60,56,60,56,60,60,57,56,60,60,59,56,60,57,56,59,59,58,56,60,60,59,60,59,60,60,73345.80579,88
0,3,0,60,56,59,60,60,60,60,60,59,57,60,59,60,58,60,60,56,60,60,60,60,60,60,56,60,56,60,60,57,56,60,60,59,56,60,57,56,59,59,58,56,60,60,59,60,59,60,60,73345.80579,87
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,0
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,73
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,84
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,86
