airportCodeIATA,airportCodeICAO,countryCode,Latitude,Longitude,continentCode
KRT,HSSS,SD,15.59944444,32.55611111,AF
KTM,VNKT,NP,27.70055556,85.36305556,AS
KTW,EPKT,PL,50.48333333,19.08333333,EU
KUL,WMKK,MY,2.743333333,101.6933333,AS
KWI,OKBK,KW,29.23027778,47.97527778,AS
LAD,FNLU,AO,-8.853055556,13.23611111,AF
LAS,KLAS,USSW,36.08,-115.1522222,NA
LAX,KLAX,USSW,33.94222222,-118.4072222,NA
LBB,KLBB,USSC,33.7,-101.8,NA
LBU,WBKL,MY,5.300555556,115.2483333,AS
LBV,FOOL,GA,0.459166667,9.415277778,AF
LCA,LCLK,CY,34.875,33.62472222,EU
LCK,KLCK,USNC,39.81666667,-82.93333333,NA
LED,ULLI,RU,59.8,30.3,AS
LEJ,EDDP,DE,51.4325,12.24166667,EU
LFW,DXXX,TG,6.1625,1.254166667,AF
LGG,EBLG,BE,50.6375,5.443333333,EU
LGW,EGKK,GB,51.14805556,-0.196666667,EU
LHE,OPLA,PK,31.52083333,74.40277778,AS
LHR,EGLL,GB,51.47138889,-0.452777778,EU
LIM,SPJC,PE,-12.02666667,-77.12277778,AS
LIS,LPPT,PT,38.78194444,-9.133333333,EU
LIT,KLIT,USSC,34.7,-92.25,NA
LOS,DNMM,NG,6.588888889,3.326388889,AF
LPA,GCLP,ES,27.93194444,-15.38666667,EU
LTN,EGGW,GB,51.88333333,-0.351666667,EU
LUN,FLKK,ZM,-15.32916667,28.45277778,AF
LUX,ELLX,LU,49.62777778,6.206666667,EU
LYS,LFLL,FR,45.72555556,5.081666667,EU
MAA,VOMM,IN,12.99333333,80.17694444,AS
MAD,LEMD,ES,40.47222222,-3.563333333,EU
MAN,EGCC,GB,53.35333333,-2.276666667,EU
MAO,SBEG,BR,-3.033333333,-60.05,SA
MBJ,MKJS,JM,18.50194444,-77.9125,SA
MCO,KMCO,USSE,28.43194444,-81.32472222,NA
MCT,OOMS,OM,23.59166667,58.27916667,AS
MDE,SKRG,CO,6.220833333,-75.59305556,SA
MED,OEMA,SA,24.545,39.72111111,AS
MEL,YMML,AU,-37.66166667,144.8333333,OC
MEM,KMEM,USSC,35,-89.976667,NA
MEX,MMMX,MX,19.43527778,-99.07277778,SA
MFM,VMMC,MO,22.23333333,113.5833333,AS
MGA,MNMG,NI,12.14111111,-86.16861111,AF
MHD,OIMM,IR,36.23666667,59.64166667,AS
MIA,KMIA,USSE,25.7925,-80.28611111,NA
MID,MMMD,MX,20.93333333,-89.65,SA
MLA,LMML,MT,35.9,14.51666667,EU
MLE,VRMM,MV,4.201388889,73.52444444,AS
MMX,ESMS,SE,55.52777778,13.36861111,EU
MNL,RPLL,PH,14.51,121.0183333,AS
MPM,FQMA,MZ,-25.91666667,32.56666667,AF
MRS,LFML,FR,43.43555556,5.216388889,EU
MRU,FIMP,MU,-20.4275,57.67638889,AF
MSE,EGMH,GB,51.35,1.35,EU
MSP,KMSP,USNC,44.88611111,-93.21777778,NA
MST,EHBK,NL,50.91111111,5.773611111,EU
MTY,MMMY,MX,25.76666667,-100.1,SA
