,wt0,wt1,wt2,wt3,wt4,wt5,wt6,wt7,wt8,wt9,wt10,wt11,wt12,wt13,wt14,wt15,Total Revenue,target
40,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,74.0
41,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,32.0
42,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,41.0
43,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,32.0
44,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,59.0
45,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,45.0
46,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,47.0
47,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,53.0
48,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,32.0
49,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,32.0
50,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,44.0
51,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,32.0
52,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,32.0
53,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,32.0
54,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,45.0
55,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,48.0
56,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,32.0
57,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,33.0
58,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,43.0
59,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,49.0
60,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,60.0
61,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,32.0
62,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,32.0
63,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,43.0
64,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,54.0
65,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,32.0
66,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,32.0
67,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,32.0
68,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,54.0
69,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,72.0
70,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,80.0
71,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,34.0
